Flex Sensor 1,Flex Sensor 2,Flex Sensor 3,Flex Sensor 4,Flex Sensor 5
85,23,83,9,58,2018-03-02 11:15:18.758
84,28,87,10,59,2018-03-02 11:15:18.859
91,31,83,5,59,2018-03-02 11:15:18.958
93,27,79,5,57,2018-03-02 11:15:19.58
90,26,76,12,51,2018-03-02 11:15:19.158
93,31,76,17,51,2018-03-02 11:15:19.258
95,34,78,22,51,2018-03-02 11:15:19.358
95,30,77,27,54,2018-03-02 11:15:19.459
95,31,84,29,55,2018-03-02 11:15:19.558
94,35,77,26,51,2018-03-02 11:15:19.659
93,36,71,29,45,2018-03-02 11:15:19.758
91,37,73,35,45,2018-03-02 11:15:19.859
93,36,72,42,45,2018-03-02 11:15:19.959
92,39,73,42,50,2018-03-02 11:15:20.58
93,36,74,36,53,2018-03-02 11:15:20.158
89,40,75,31,53,2018-03-02 11:15:20.258
89,43,76,28,50,2018-03-02 11:15:20.359
88,48,79,27,51,2018-03-02 11:15:20.458
94,52,77,27,51,2018-03-02 11:15:20.558
93,49,74,26,47,2018-03-02 11:15:20.659
93,49,71,30,44,2018-03-02 11:15:20.758
88,48,74,27,50,2018-03-02 11:15:20.858
88,44,77,24,49,2018-03-02 11:15:20.959
87,41,78,30,43,2018-03-02 11:15:21.58
86,44,77,28,44,2018-03-02 11:15:21.159
91,44,74,32,40,2018-03-02 11:15:21.258
89,47,75,32,41,2018-03-02 11:15:21.358
94,48,74,33,40,2018-03-02 11:15:21.459
97,49,78,35,43,2018-03-02 11:15:21.558
97,44,77,41,41,2018-03-02 11:15:21.659
97,46,77,43,43,2018-03-02 11:15:21.759
93,45,73,44,47,2018-03-02 11:15:21.859
94,42,74,43,43,2018-03-02 11:15:21.958
100,41,76,43,47,2018-03-02 11:15:22.59
96,38,71,40,47,2018-03-02 11:15:22.158
92,38,75,47,46,2018-03-02 11:15:22.258
94,42,73,44,49,2018-03-02 11:15:22.359
91,41,74,50,49,2018-03-02 11:15:22.458
94,42,74,50,52,2018-03-02 11:15:22.558
95,46,74,50,58,2018-03-02 11:15:22.659
98,46,79,49,60,2018-03-02 11:15:22.758
99,43,81,44,63,2018-03-02 11:15:22.859
100,42,74,44,65,2018-03-02 11:15:22.958
100,46,76,47,67,2018-03-02 11:15:23.58
100,43,69,48,73,2018-03-02 11:15:23.159
100,50,75,49,76,2018-03-02 11:15:23.258
100,49,80,52,75,2018-03-02 11:15:23.358
100,51,77,50,71,2018-03-02 11:15:23.459
98,54,72,51,70,2018-03-02 11:15:23.558
99,56,68,55,75,2018-03-02 11:15:23.659
98,53,68,58,70,2018-03-02 11:15:23.758
96,52,73,54,72,2018-03-02 11:15:23.858
100,51,72,54,70,2018-03-02 11:15:23.958
99,51,72,54,74,2018-03-02 11:15:24.58
100,47,76,52,72,2018-03-02 11:15:24.159
96,46,73,51,73,2018-03-02 11:15:24.258
95,47,76,50,75,2018-03-02 11:15:24.359
91,47,79,50,75,2018-03-02 11:15:24.459
93,46,77,49,73,2018-03-02 11:15:24.558
100,45,76,53,73,2018-03-02 11:15:24.658
97,45,80,56,73,2018-03-02 11:15:24.759
94,43,78,60,73,2018-03-02 11:15:24.858
95,42,85,60,78,2018-03-02 11:15:24.959
99,48,84,64,77,2018-03-02 11:15:25.59
95,47,86,65,83,2018-03-02 11:15:25.158
95,47,85,68,83,2018-03-02 11:15:25.259
94,47,92,67,82,2018-03-02 11:15:25.358
94,40,92,70,76,2018-03-02 11:15:25.458
97,46,93,71,79,2018-03-02 11:15:25.558
99,49,90,70,79,2018-03-02 11:15:25.658
96,54,93,70,72,2018-03-02 11:15:25.759
96,53,92,63,69,2018-03-02 11:15:25.858
93,54,88,61,66,2018-03-02 11:15:25.958
95,48,86,57,66,2018-03-02 11:15:26.59
99,49,87,61,66,2018-03-02 11:15:26.158
97,50,86,61,71,2018-03-02 11:15:26.258
100,46,92,55,69,2018-03-02 11:15:26.359
98,40,97,58,64,2018-03-02 11:15:26.458
97,46,97,53,59,2018-03-02 11:15:26.559
98,43,100,55,59,2018-03-02 11:15:26.658
99,40,97,54,55,2018-03-02 11:15:26.758
99,42,92,57,54,2018-03-02 11:15:26.859
96,38,91,56,58,2018-03-02 11:15:26.958
96,43,93,58,60,2018-03-02 11:15:27.58
94,36,95,53,62,2018-03-02 11:15:27.159
97,35,93,55,58,2018-03-02 11:15:27.258
93,38,99,58,62,2018-03-02 11:15:27.358
86,41,100,60,60,2018-03-02 11:15:27.459
84,39,100,58,56,2018-03-02 11:15:27.558
87,45,96,58,54,2018-03-02 11:15:27.658
86,39,93,61,54,2018-03-02 11:15:27.758
81,34,90,56,54,2018-03-02 11:15:27.859
82,34,92,53,50,2018-03-02 11:15:27.958
84,35,90,53,49,2018-03-02 11:15:28.59
85,34,94,57,52,2018-03-02 11:15:28.159
90,34,90,57,49,2018-03-02 11:15:28.258
87,33,90,62,49,2018-03-02 11:15:28.359
91,37,91,62,53,2018-03-02 11:15:28.458
93,35,92,64,52,2018-03-02 11:15:28.559
95,40,93,67,53,2018-03-02 11:15:28.659
90,46,94,68,54,2018-03-02 11:15:28.759
87,41,98,68,55,2018-03-02 11:15:28.858
85,44,100,68,54,2018-03-02 11:15:28.959
89,40,100,66,52,2018-03-02 11:15:29.59
90,42,99,65,52,2018-03-02 11:15:29.158
89,46,96,72,52,2018-03-02 11:15:29.259
90,43,100,78,46,2018-03-02 11:15:29.358
89,43,99,80,52,2018-03-02 11:15:29.458
88,48,100,76,48,2018-03-02 11:15:29.559
88,47,100,81,50,2018-03-02 11:15:29.658
91,46,96,79,53,2018-03-02 11:15:29.758
91,46,96,76,52,2018-03-02 11:15:29.859
88,50,93,80,54,2018-03-02 11:15:29.958
89,44,91,80,47,2018-03-02 11:15:30.59
92,42,93,82,48,2018-03-02 11:15:30.158
95,36,96,84,51,2018-03-02 11:15:30.259
91,43,90,84,50,2018-03-02 11:15:30.359
92,41,90,82,52,2018-03-02 11:15:30.459
93,39,91,84,57,2018-03-02 11:15:30.559
89,38,94,85,51,2018-03-02 11:15:30.659
89,44,97,83,53,2018-03-02 11:15:30.758
89,47,98,85,57,2018-03-02 11:15:30.858
93,46,100,90,63,2018-03-02 11:15:30.959
87,45,100,87,64,2018-03-02 11:15:31.58
83,42,100,87,61,2018-03-02 11:15:31.159
83,43,100,89,61,2018-03-02 11:15:31.258
84,46,97,86,60,2018-03-02 11:15:31.359
89,49,97,83,61,2018-03-02 11:15:31.458
89,52,99,89,63,2018-03-02 11:15:31.559
86,53,100,89,59,2018-03-02 11:15:31.658
84,53,95,89,63,2018-03-02 11:15:31.759
89,53,97,86,66,2018-03-02 11:15:31.858
85,54,94,87,68,2018-03-02 11:15:31.959
82,57,96,87,71,2018-03-02 11:15:32.58
86,56,94,86,70,2018-03-02 11:15:32.158
84,55,97,85,68,2018-03-02 11:15:32.258
83,56,99,85,65,2018-03-02 11:15:32.358
76,54,100,84,68,2018-03-02 11:15:32.458
76,50,96,80,69,2018-03-02 11:15:32.558
77,52,100,79,71,2018-03-02 11:15:32.659
74,53,98,81,71,2018-03-02 11:15:32.758
72,53,100,80,72,2018-03-02 11:15:32.859
66,49,100,84,72,2018-03-02 11:15:32.958
68,42,97,87,70,2018-03-02 11:15:33.58
70,45,100,88,67,2018-03-02 11:15:33.159
63,45,100,90,72,2018-03-02 11:15:33.258
64,47,100,87,72,2018-03-02 11:15:33.359
58,42,95,86,72,2018-03-02 11:15:33.458
53,45,92,89,69,2018-03-02 11:15:33.559
56,48,88,91,66,2018-03-02 11:15:33.658
61,52,91,91,63,2018-03-02 11:15:33.758
57,55,98,89,65,2018-03-02 11:15:33.859
57,61,98,87,65,2018-03-02 11:15:33.959
58,55,95,88,69,2018-03-02 11:15:34.58
58,61,89,88,65,2018-03-02 11:15:34.158
61,66,92,92,68,2018-03-02 11:15:34.258
61,65,94,90,69,2018-03-02 11:15:34.358
61,60,89,91,68,2018-03-02 11:15:34.458
59,61,90,92,67,2018-03-02 11:15:34.559
57,61,93,89,66,2018-03-02 11:15:34.658
55,62,89,88,60,2018-03-02 11:15:34.758
53,59,92,90,55,2018-03-02 11:15:34.858
50,60,92,92,60,2018-03-02 11:15:34.959
45,66,90,86,61,2018-03-02 11:15:35.58
41,64,91,88,60,2018-03-02 11:15:35.159
35,58,94,87,61,2018-03-02 11:15:35.258
31,57,93,85,57,2018-03-02 11:15:35.359
36,58,90,83,53,2018-03-02 11:15:35.458
30,57,90,82,57,2018-03-02 11:15:35.559
29,52,94,84,53,2018-03-02 11:15:35.658
29,52,94,89,56,2018-03-02 11:15:35.758
30,49,92,85,53,2018-03-02 11:15:35.859
27,44,89,84,50,2018-03-02 11:15:35.958
27,42,86,81,47,2018-03-02 11:15:36.59
30,45,83,81,45,2018-03-02 11:15:36.159
30,49,80,79,40,2018-03-02 11:15:36.258
34,45,79,79,34,2018-03-02 11:15:36.358
32,48,84,80,29,2018-03-02 11:15:36.459
35,50,81,78,29,2018-03-02 11:15:36.558
40,46,86,78,30,2018-03-02 11:15:36.659
